epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.891,1.25907,1.97401,1.10475,0.80893,0.69198,0.77181,0.46435,1.30261,1.5621,1.21211,0.000662745,0.000662745,0.000662745
2,297.344,1.28489,1.34593,1.10712,0.89595,0.76295,0.83662,0.49042,1.3488,1.21328,1.21807,0.0011978,0.0011978,0.0011978
3,437.718,1.27081,1.14081,1.12651,0.87567,0.80169,0.84391,0.52852,1.27901,1.04392,1.20006,0.00160085,0.00160085,0.00160085
4,589.749,1.23799,1.01333,1.08386,0.90219,0.8173,0.9055,0.57003,1.18884,0.92889,1.15151,0.001406,0.001406,0.001406
5,734.476,1.1769,0.88082,1.05799,0.95746,0.78903,0.9059,0.57362,1.2043,0.8315,1.10946,0.001208,0.001208,0.001208
6,876.969,1.13313,0.78364,1.04864,0.95719,0.8481,0.93961,0.612,1.15569,0.77243,1.07223,0.00101,0.00101,0.00101
7,1012.77,1.08588,0.71907,1.0149,0.96928,0.83966,0.93052,0.63567,1.05589,0.68542,1.0254,0.000812,0.000812,0.000812
8,1150,1.01618,0.64933,0.99705,0.93753,0.88649,0.96029,0.63641,1.05323,0.63838,1.0072,0.000614,0.000614,0.000614
9,1285.12,0.99161,0.60461,0.9684,0.97496,0.87764,0.94457,0.64337,1.07799,0.61477,1.0244,0.000416,0.000416,0.000416
10,1420.18,0.9305,0.55651,0.94883,0.98836,0.87342,0.96226,0.67129,1.01709,0.56862,0.98038,0.000218,0.000218,0.000218
